language,wer
bxk,0.8399999890445098
top,1.1769353129480644
qxp,0.7625218889453765
ruc,0.8490191707991687
kcn,0.8572991317304195
koo,0.9660341577474444
sco,0.4701046490196485
ady,1.0832717392211841
el-CY,0.6739959088426947
ukv,0.6141191283371226
cgg,0.8665639045520076
lke,0.9126819980942429
ttj,0.7178217797871459
mmc,0.9499591285672269
kbd,0.982445104734428
rwm,1.0509438056502018
ush,0.678912861855229
lth,0.5873297718383281
hch,0.9651054052167501
led,0.6384187183784531
aln,0.7944577564185368
pne,0.4968084263186517
bew,0.5659804358925071
meh,0.7771425702500814
tob,1.3291568884401423
bas,0.8565804516899684
