language,wer
ukv,0.5187371791557491
bas,0.4907650087408395
pne,0.45627531357128587
qxp,0.41016000112975204
ruc,0.8229802803379598
bew,0.748595506723378
cgg,0.610290153299781
meh,0.6224768319601023
tob,0.8709093554845998
hch,0.8510997587816462
bxk,0.8137858425022934
sco,0.6199841845243217
kcn,0.6666538958635924
aln,0.7289486608163576
top,1.2133525554260334
el-CY,0.8272421305379023
led,0.47160913312663416
koo,0.8575881554492655
lke,0.7032354695777483
mmc,0.8246844996745715
ush,0.6025765136797525
lth,0.415968155636803
ttj,0.4546969318595454
rwm,0.782621911806496
kbd,0.6444285978123337
ady,0.7991001003675986
