language,wer
koo,0.958252076903741
el-CY,0.8325537759429184
meh,0.6418753099508396
bas,0.442412008518504
hch,0.7489751443193391
lke,0.7668460260659549
rwm,0.8764257241521851
lth,0.4423382455899423
top,3.4689172607312315
sco,0.6353686541800316
cgg,0.7235580885518793
ush,0.6253014123334438
ady,0.8070512840640498
ukv,0.5704848188077942
kcn,0.7943087668485648
bxk,0.7509122996043424
qxp,
ruc,0.795498192443266
aln,0.7570408787120076
led,0.4445184557748219
bew,0.8199442442324706
mmc,0.7977482234539606
ttj,0.4971650489640633
kbd,0.6744567278358538
tob,0.837072002677968
pne,0.5064141596601142
