language,wer
led,0.4268260935807793
sco,0.6298066965960359
ttj,0.39767249670303967
tob,0.7530515649824924
kcn,0.6673123486682808
koo,0.884793257054114
kbd,0.6621035698990706
mmc,0.7775131429667155
qxp,0.41285092922103594
ady,0.8203142274368791
ruc,0.7597455871222344
lke,0.7233018080046988
cgg,0.6091767451197412
meh,0.5647510032704655
bxk,0.7064529391311777
pne,0.42741480194284154
hch,0.7208007748835055
el-CY,0.7576820952348123
bew,0.6710153977366637
aln,0.6760005528611968
lth,0.42059337760056315
ukv,0.5110600217060395
ush,0.5750252163755378
rwm,0.7808015104182063
bas,0.5359711432407807
top,1.326408401770878
