lang	cosine	rho_p	rho_p_p	rho_s	rho_s_p	T_k	T_k_p
cgg	0.755090560054384	0.7544030589789059	0.0	0.4193462616492534	0.0	0.40703873874335694	0.0
lke	0.7787269601860562	0.7780477240151288	0.0	0.4975687668734992	0.0	0.48351955140116015	0.0
mmc	0.27192795988120805	0.27116135463075736	0.0	0.37202953128411265	0.0	0.3675527535050929	0.0
pne	0.3850583593983256	0.3838900704775692	0.0	0.393762813714585	0.0	0.3790842303468428	0.0
kcn	0.21534545627822074	0.2137710111324001	0.0	0.3221408635800871	0.0	0.31445250134531555	0.0
el-CY	0.704205235714609	0.7035850148515792	0.0	0.8114780101914246	0.0	0.809685657164364	0.0
qxp	0.9008809398872749	0.900772309350586	0.0	0.5667334614809153	0.0	0.5605254775636092	0.0
ush	0.8599196068595792	0.859787766334279	0.0	0.6938558688665027	0.0	0.6924677856438965	0.0
hch	0.20182066341084776	0.20095362930820446	0.0	0.410600770424028	0.0	0.403160633805258	0.0
led	0.18200602163411536	0.18052355824603172	0.0	0.24926873544859451	0.0	0.24214433533428306	0.0
ukv	0.3961054775519552	0.39486041680860284	0.0	0.44443573743339054	0.0	0.43144911364867944	0.0
rwm	0.44702125503958134	0.44568481720179626	0.0	0.4255523023339384	0.0	0.41227321057918664	0.0
lth	0.24887210637642798	0.24747416394105617	0.0	0.3721477429745544	0.0	0.36172944561791803	0.0
bew	0.6051185415284088	0.6037957993845486	0.0	0.472543027610607	0.0	0.45616882788710233	0.0
ttj	0.7485318131330706	0.7478280847729071	0.0	0.4402688750949604	0.0	0.4274299445721962	0.0
bas	0.48816501103115933	0.48725372224678076	0.0	0.3336992929029835	0.0	0.32389910018660556	0.0
aln	0.272323443474418	0.27152959437675506	0.0	0.5282064784543709	0.0	0.5173116427592813	0.0
meh	0.34384633590483465	0.3430370524665387	0.0	0.41250332629346426	0.0	0.4082839245139285	0.0
ruc	0.8002380821048322	0.799673033235535	0.0	0.5048139932985983	0.0	0.4906613261900991	0.0
bxk	0.6279729498268293	0.6269077674223857	0.0	0.4180207971190863	0.0	0.40505358966064303	0.0
ady	0.3063263418982597	0.3057880361799705	0.0	0.38303132896016234	0.0	0.3792296679078169	0.0
koo	0.6376740227308251	0.6365840784189268	0.0	0.41587684839372985	0.0	0.40332301269312854	0.0
kbd	0.31908909624489534	0.31855679435268974	0.0	0.4118357630391244	0.0	0.40677945141149435	0.0
